ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу,Дата добавления,Видео,Исходники,ГитХаб,Демопати,Компо,Место
3000245,silkworm 1992,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1992,БК0010 (11М),game,1992,,,,,silkworm.zip,,,,,,,,,,00087007.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=87007,17.02.26,,,,,,
105,BK DEMO,"Горбунов Д., Болькховитянов Д., Ляпидевский П.",NPCsoft,1991,БК0010 (11М),demo,1991,,,Английский,"Демонстрация возможностей компьютера БК Демонстрация возможностей компьютера БК Горбунов Д., Болькховитянов Д., Ляпидевский П. NPCsoft 1991",bkdemo.zip,,,,,,,,,,1395997400_r-games.net_1.png,1395997416_r-games.net_2.png,1395997457_r-games.net_3.png,1395997391_r-games.net_4.png,1395997429_r-games.net_5.png,1395997411_r-games.net_6.png,,,,,,,https://www.pouet.net/prod.php?which=84341,17.02.26,https://www.youtube.com/watch?v=HqFBLMvckc4,,,,,
30993,ЕЛЬЦИН (ДЕМО),,,,БК0010 (11М),demo,,,,,Такая демка могла появится только в перестроечное время. Такая демка могла появится только в перестроечное время.,YELTSIN.DEM.zip,,,,,,,,,,1358855942_1.png,1358855948_2.png,1358855968_3.png,,,,,,,,,,https://r-games.net/30993-elcin-demo.html,,,,,,,
180,КРАСОТА (ДЕМО),,,,БК0010 (11М),demo,,,,,"Точное название данного демо не смогли определить, назвали по имени файла, если кто знает точное название отпишитесь в комментариях или на почту. Красиво сделанная демонстрашка - звездное небо, на фоне которого вращается Земля. Точное название данного демо не смогли определить, назвали по имени",krasota.zip,,,,,,,,,,1395734121_r-games.net_1.png,,,,,,,,,,,,https://r-games.net/180-krasota-demo.html,,,,,,,
96,ADVERT 3 (ДЕМО),,,,БК0010 (11М),demo,,,,,Оригинальная демка.,advert3.zip,,,,,,,,,,1396266487_r-games.net_1.png,1396266461_r-games.net_2.png,1396266459_r-games.net_3.png,,,,,,,,,,https://r-games.net/96-advert-3-demo.html,,,,,,,
70,DEMLIS (БК0011М),Гришин А.,,,БК0011М,demo,,,,,Демонстрация графических возможностей БК.,demlis.zip,,,,,,,,,,1396611261_r-games.net_1.png,1396611285_r-games.net_2.png,1396611293_r-games.net_3.png,,,,,,,,,,https://r-games.net/70-4k-intro-bk-maniya-96-demlis-bk0011m.html,,,,,,,
20847,EAGLE FDN,Фролов Д.Н.,FDN,,БК0011М,demo,,,,,Демка в виде летящего орла под вращающимися буквами FDN. Демка в виде летящего орла под вращающимися буквами FDN. Фролов Д.Н. FDN,eagle-fdn.zip,,,,,,,,,,1317216877_1.jpg,,,,,,,,,,,,https://r-games.net/20847-eagle-fdn.html,,,,,,,
129,FISH-DEMO,Alexsoft,,,БК0010 (11М),demo,,,,,Демонстрационная программа Демонстрационная программа Alexsoft,fish_demo.zip,,,,,,,,,,1395906492_r-games.net_1.png,1395906478_r-games.net_2.png,1395906446_r-games.net_3.png,,,,,,,,,,https://r-games.net/129-fish-demo.html,,,,,,,
139,LYRA II MEGADEMO 1 (БК0011М),Алексей Мельников,Microsoft,,БК0011М,demo,,,,,Демонстрация возможностей БК0011М Демонстрация возможностей БК0011М Мельников Алексей Microsoft,lyra-demo.zip,,,,,,,,,,1395901223_r-games.net_1.png,1395901227_r-games.net_2.png,1395901196_r-games.net_3.png,1395901170_r-games.net_4.png,1395901173_r-games.net_5.png,1395901179_r-games.net_6.png,,,,,,,https://r-games.net/139-lyra-ii-megademo-1-bk0011m.html,,,,,,,
148,NDR STUDIO (ДЕМО),Насыров Дамир (Damir Nasyroff/Adam Bazaroff),NDR studio,,БК0010 (11М),demo,,,,,Демонстрация возможностей БК Демонстрация возможностей БК. Насыров Дамир (Damir Nasyroff) NDR studio,demo.ndr.zip,,,,,,,,,,1395829799_r-games.net_1.png,1395829736_r-games.net_2.png,,,,,,,,,,,https://r-games.net/148-ndr-studio-demo.html,,,,,,,
153,POTDEMO,Сотченко Денис,RDC Software,,БК0010 (11М),demo,,,,,Демонстрация возможностей БК. Демонстрация возможностей БК. Сотченко Денис RDC Software,potdemo.zip,,,,,,,,,,1395827993_r-games.net_1.png,1395827912_r-games.net_2.png,1395827966_r-games.net_3.png,1395827930_r-games.net_4.png,1395827952_r-games.net_5.png,1395827996_r-games.net_6.png,1395827988_r-games.net_7.png,1395827971_r-games.net_8.png,,,,,https://r-games.net/153-potdemo.html,,,,,,,
957,SHOCK 4K,,,,БК0010 (11М),demo,,,,,Демонстрация графических возможностей БК0010 Демонстрация графических возможностей БК0010,shockpac.zip,,,,,,,,,,1299764666_2.jpg,,,,,,,,,,,,https://r-games.net/957-shock-4k.html,,,,,,,
162,SILICON (ДЕМО) (БК0011М),CAMCODER & KB ,CAMCODER & KB,,БК0011М,demo,,,,,Демонстрация возможностей БК0011М Демонстрация возможностей БК0011М. CAMCODER & KB,silicon.zip,,,,,,,,,,1395822634_r-games.net_1.png,1395822675_r-games.net_2.png,1395822618_r-games.net_3.png,,,,,,,,,,https://r-games.net/162-silicon-demo-bk0011m.html,,,,,,,
87,SMALL DEMONSTRATION!,Жебраков Андрей (Star software),STAR SOFTWARE,,БК0010 (11М),demo,,,,,"Демка, по задумке автора, состоит из 3-х частей: WAVE (Волна) PLANETS (Планетки) BALLMAN (Человек из кружков) Демонстрация возможностей БК. Андрей Жебраков STAR SOFTWARE",smalldemo.zip,,,,,,,,,,1396273815_r-games.net_1.png,1396273881_r-games.net_2.png,1396273885_r-games.net_3.png,,,,,,,,,,https://r-games.net/87-4k-intro-bk-maniya-97-small-demonstration.html,,,,,,,
31670,STARS (ДЕМО),,,,БК0010 (11М),demo,,,,,Демка в виде летящих в разные стороны светящихся точек Демка в виде летящих в разные стороны светящихся точек,STARS.DEM.zip,,,,,,,,,,1495702565_1.png,,,,,,,,,,,,https://r-games.net/31670-stars-demo.html,,,,,,,
31671,STARS (ДЕМО),STROGINO,,,БК0010 (11М),demo,,,,,Демка в виде звездного неба Демка в виде звездного неба STROGINO,STARS_DEMO.zip,,,,,,,,,,1368788967_1.png,,,,,,,,,,,,https://r-games.net/31671-stars-demo.html,,,,,,,
170,TEA-POT DEMO (БК0011М),SORTSOFT & KB,,,БК0011М,demo,,,,,Жанр: ДЕМО Разработчик: SORTSOFT & KB Платформа: БК0011М Демонстрационная программа под БК0011М Демонстрационная программа под БК0011М,tea-pot.zip,,,,,,,,,,1395741385_r-games.net_1.png,1395741410_r-games.net_2.png,1395741422_r-games.net_3.png,,,,,,,,,,https://r-games.net/170-tea-pot-demo-bk0011m.html,,,,,,,
75,TERRA1,Тимофеев Андрей,TERRA Software,,БК0010 (11М),demo,,,,,Демонстрационная программа от TERRA software Демонстрационная программа от TERRA software Тимофеев Андрей TERRA Software,terra1.zip,,,,,,,,,,1396607884_r-games.net_1.png,1396607870_r-games.net_2.png,,,,,,,,,,,https://r-games.net/75-4k-intro-bk-maniya-96-terra1.html,,,,,,,
76,TERRA2,Тимофеев Андрей,TERRA Software,,БК0010 (11М),demo,,,,,Демо с экранной лупой. Демо с экранной лупой. Тимофеев Андрей TERRA Software,terra2.zip,,,,,,,,,,1396607161_r-games.net_1.png,1396607165_r-games.net_2.png,,,,,,,,,,,https://r-games.net/76-4k-intro-bk-maniya-96-terra2.html,,,,,,,
20825,THE GROUND ON LINE,DEP SOFTWARE (ex. CAROLINE SOFTWARE) & MAXI GRAPHICS COMPUTER,,,БК0010 (11М),demo,,,,,Демо в виде бегущей строки. Демо в виде бегущей строки. DEP SOFTWARE (ex. CAROLINE SOFTWARE) & MAXI GRAPHICS COMPUTER,groline.zip,,,,,,,,,,1315986183_1.jpg,,,,,,,,,,,,https://r-games.net/20825-the-ground-on-line.html,,,,,,,
172,TOP DEMO,Сотченко Денис,RDC Software,,БК0010 (11М),demo,,,,,Демонстрация векторной графики на БК Демонстрация векторной графики на БК Сотченко Денис RDC Software,top_demo.7z,,,,,,,,,,1395738758_r-games.net_1.png,1395738749_r-games.net_2.png,,,,,,,,,,,https://r-games.net/172-top-demo.html,,,,,,,
173,TOP DEMO (БК0011М),Сотченко Денис,RDC Software,,БК0011М,demo,,,,,Демонстрация возможностей БК0011М. Демонстрация возможностей БК0011М. Сотченко Денис RDC Software,topdemo.zip,,,,,,,,,,1395738422_r-games.net_1.png,1395738427_r-games.net_2.png,,,,,,,,,,,https://r-games.net/173-top-demo-bk0011m.html,,,,,,,
77,TV GLUK,NiOl,,,БК0010 (11М),demo,,,,,"Демо представляет собой рябящий экран, на подобие ТВ экрана при отсутствии сигнала. Демо представляет собой рябящий экран, на подобие ТВ экрана при отсутствии сигнала. NiOl-micro",nm-tv.zip,,,,,,,,,,1396605557_r-games.net_1.png,,,,,,,,,,,,https://r-games.net/77-4k-intro-bk-maniya-96-tv-gluk.html,,,,,,,
